id,title,author,genre,description,rating,year,cover_id
271,2001,Arthur C. Clarke,Human-computer interaction,"Human-computer interaction Computers Fiction Science fiction Twenty-first century Space vehicles Long Now Manual for Civilization English Science fiction Fiction, science fiction, hard science fiction Saturn",0,1968,11344400
272,The Invisible Life of Addie LaRue,V. E. Schwab,nyt:combined-print-and-e-book-fiction=2020-10-25,"nyt:combined-print-and-e-book-fiction=2020-10-25 New York Times bestseller Fiction, fantasy, historical LGBTQ science fiction & fantasy Memory Fiction Immortalism Deals Man-woman relationships FICTION / Fantasy / Historical",0,2015,10092261
273,The Secret of Chimneys,Agatha Christie,Fiction,"Fiction Mystery Superintendent Battle (Fictitious character) English Detective and mystery stories Murder Investigation Conspiracies Manors Detective and mystery stories Fiction, mystery & detective, traditional",0,1925,12996574
274,Contact,Carl Sagan,Exploration,Exploration Fiction Human-alien encounters Life on other planets Radio astronomy Women scientists Interstellar communication Interplanetary voyages Long Now Manual for Civilization Science Fiction - General,0,1985,4143957
275,Klara and the Sun,Kazuo Ishiguro,"Fiction, science fiction, general","Fiction, science fiction, general speculative fiction nyt:combined-print-and-e-book-fiction=2021-03-21 New York Times bestseller Fiction, dystopian British and irish fiction (fictional works by one author) The Future Fiction Artificial intelligence Robots",0,2019,10648686
276,The Eyes of the Dragon,Stephen King,suspense,suspense horror epic fantasy Fantasy Fiction Thriller Princes Dragons Wizards Horror fiction,0,1959,8524085
277,Heir of Fire,Sarah J. Maas,Magic,Magic YA High Fantasy Fiction Romance Fantasy Court Assassins Identity Identity (Psychology),0,2014,9318480
278,The Shadow Rising,Robert Jordan,Fiction,"Fiction Good and evil Rand Al'Thor (Fictitious character) Fiction, fantasy, epic Rand al'thor (fictitious character), fiction Fantasy fiction American Fantasy fiction Fantastic fiction Fiction, fantasy, general American literature",0,1992,603240
279,Eleven Minutes,Paulo Coelho,Brazilians,"Brazilians Love Prostitutes Sex Fiction Romance fiction Fiction, visionary & metaphysical Brazil, fiction Love stories",0,2003,31228
280,The Queen of the Damned,Anne Rice,Fiction,"Fiction Vampires Horror tales horror rock music spirits New World Order Lestat (Fictitious character) Lestat (fictitious character), fiction Vampires, fiction",0,1988,9255774
281,La sombra del viento,Carlos Ruiz Zafón,Mothers and sons,Mothers and sons Verschollenheit Widowers Fiction Autor Books Buch Young men Faszination Rare books,0,2001,10107644
282,Lilith,George MacDonald,"Fiction, romance, fantasy","Fiction, romance, fantasy Fiction, general Non-Classifiable Nonfiction - General General & Literary Fiction General Fiction / General Fiction - General Fiction / Fantasy / General Fiction / Visionary & Metaphysical",0,1895,14364546
283,Doctor Sleep,Stephen King,Fiction,"Fiction Psychic ability Good and evil Fiction, horror Large print books Occult fiction Large type books Horror fiction Psychics Middle-aged men",0,2013,14652972
284,Wrecking Ball,Jeff Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),"Wrecking Ball (Diary of a Wimpy Kid Book 14) Gregs dream of becoming rich Children's fiction Diaries, fiction Friendship, fiction Family life, fiction Humorous stories Houses, fiction Funny modern day",0,2019,9278304
285,Wolves of the Calla,Stephen King,lightsabers,lightsabers snitches androids Action and adventure fiction Adventure fiction epic fiction Fiction Heroes Good and evil Fantasy fiction,0,2003,14652470
286,"The Lion, the Witch and the Wardrobe",C. S. Lewis,the Blitz,the Blitz fauns Turkish Delight lions English Children's stories Fantasy & Magic Action & Adventure Classics juvenile works English Fantasy fiction,0,1950,8441376
287,New Moon,Stephenie Meyer,series: Twilight,series: Twilight series:Luz_e_Escuridão Vampires Juvenile fiction Werewolves High schools Schools Vampiros Hombres lobo Fiction,0,2006,12643406
288,Sula,Toni Morrison,Fiction,"Fiction African American women Female friendship City and town life Romans, nouvelles Fiction in English Amitié féminine Vie urbaine Noires américaines Literature",0,1973,8384008
289,The Kite Runner,Khaled Hosseini,New York Times bestseller,New York Times bestseller nyt:trade_fiction_paperback=2008-10-26 Male friendship Betrayal Fiction Social classes Boys nyt:trade_fiction_paperback=2009-09-26 Bacha bazi Soviet-Afghan war,0,2003,14846827
290,Old School,Jeff Kinney,Spanish language materials,Spanish language materials Diaries Juvenile fiction Fiction Family life Electronics Spanish language Reading materials Electronicas Novela,0,2007,8314206
291,Daisy Jones & The Six,Taylor Jenkins Reid,"Musicians, fiction","Musicians, fiction Fiction, women Los angeles (calif.), fiction Man-woman relationships, fiction Fiction, historical nyt:combined-print-and-e-book-fiction=2019-03-24 New York Times bestseller New York Times reviewed Women rock musicians Fiction",0,2019,8742674
292,The New Girl,Robert Lawrence Stine,Ghost stories,Ghost stories Horror tales Horror stories Gymnasts Fiction Horror tales. Ghost stories. Peur Romans Amour,0,1989,8203024
293,Dance Upon the Air,Nora Roberts,Islas,Islas Brujas Novela oculta Mujeres Abused wives Massachusetts in fiction Abused wives in fiction Women in fiction Fiction Open Library Staff Picks,0,1902,1464182
294,The Martian Chronicles,Ray Bradbury,American Science fiction,American Science fiction Ciencia-ficción Drama English Language Short stories Ficción Fiction Interplanetary voyages Translations into Russian Bibliography Science fiction,0,1950,9346537
295,The Fires of Heaven,Robert Jordan,Fantasy,"Fantasy Fiction, fantasy, epic Rand al'thor (fictitious character), fiction Fantasy fiction Rand al'Thor (Fictitious character) Fiction Fiction, fantasy, general American literature Fiction, science fiction, general",0,1993,603821
296,Second Foundation,Isaac Asimov,Fiction,"Fiction Psychohistory Life on other planets Science fiction Fiction, science fiction, general American literature Psychological fiction Vie extraterrestre Romans, nouvelles Psychohistoire",0,1953,9261324
297,Prince Caspian,C. S. Lewis,Fantasy,Fantasy Narnia (fictional place) Princes Juvenile fiction Good and evil Fiction Ships Juvenile Fairy tales Fantasy fiction,0,1951,45897
298,Cryptonomicon,Neal Stephenson,Fiction,"Fiction World War, 1939-1945 World War, 1939-1945 in fiction Data encryption (Computer science) Cryptography Literature Science Fiction Long Now Manual for Civilization Code and cipher stories Fiction, technological",0,1999,6424001
299,Into the Wild,Erin Hunter,Kinderbuch ab 10 Jahren,Kinderbuch ab 10 Jahren Fantasy Katzen Clans Wald verborgen Hauskater wild jagen Instinkte,0,2003,12720669
300,House of Earth and Blood,Sarah J. Maas,American literature,"American literature Fiction, fantasy, urban Fiction, romance, paranormal Fiction, fantasy, epic Fiction, romance, fantasy collectionID:EanesChallenge Fiction, romance, paranormal, general [series:SJM_Crescent:City] fiction angels",0,2019,9289603
301,The Selection (The Selection #1),Kiera Cass,Contests,Contests Love Princes JUVENILE FICTION / Love & Romance Revolutionaries JUVENILE FICTION / Girls & Women Social classes Fiction Marriage JUVENILE FICTION / General,0,2012,7101900
302,The Rainmaker,John Grisham,Fiction,Fiction Insurance crimes Insurance crimes in fiction Leukemia in fiction Insurance companies in fiction Leukemia Legal stories Insurance companies Poor families Patients,0,1995,9322929
303,Ethan Frome,Edith Wharton,Accident victims,Accident victims American fiction (fictional works by one author) American literature Children's fiction Classic Literature domestic fiction English fiction Family life Farm life Fiction,0,1910,8303480
304,Rose Madder,Stephen King,rose madder,rose madder audiobooks miscarriage internal affairs women's shelters domestic violence Greek mythology fantasy thriller horror,0,1995,8578049
305,Pawn of Prophecy,David Eddings,Fiction,"Fiction Literature High fantasy Buildungsroman Fantasy fiction Juvenile fiction Magic Heroes Good and evil Garion (fictitious character), fiction",0,1982,1000455
306,The Greek Tycoon's Pregnant Wife,Anne Mather,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Passion, fiction Greeks, fiction Marriage, fiction Separation, fiction Pregnancy, fiction Married people, fiction",0,2007,2408882
307,The Pearl,John Steinbeck,American fiction (fictional works by one author),American fiction (fictional works by one author) Open Library Staff Picks Avaricia Buceadores de perlas Family Fishers Men Fiction Parábolas Avarice,0,1945,2523104
308,Robots and Empire,Isaac Asimov,Fiction,"Fiction Robots Fiction, mystery & detective, general Fiction, science fiction, hard science fiction fiction"" American literature Novela Ciencia ficción Science fiction Long Now Manual for Civilization",0,1985,9302088
309,Lonesome Dove,Larry McMurtry,fiction,fiction western cattle drives cowboys Man-woman relationships Western Fiction historical fiction Historical - General Fiction / General Fiction - Historical Texas Rangers,0,1985,8376548
310,Of Mice and Men,John Steinbeck,contemporary fiction,contemporary fiction literary fiction classics Labor Trilogy psychological fiction Male friendship Goal (Psychology) western stories Fiction Vida ranchera,0,1937,14319003
311,The Contaxis Baby,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Pregnancy, fiction Greeks, fiction Greek billionaires, fiction",0,2002,1186185
312,Gone Girl,Gillian Flynn,FICTION / Mystery & Detective / General,FICTION / Mystery & Detective / General Married people Crimes against Wives Husbands FICTION / Thrillers FICTION / Suspense Fiction Roman Amerikanisches Englisch,0,2011,8368314
313,Dork Diaries Drama Queen,Rachel Renée Russell,dork life,dork life Humorous Stories Teenage girls Middle schools Diaries Spring Comics & Graphic Novels Fiction Social Themes Schools,0,2009,8191562
314,Dragonsong,Anne McCaffrey,Harper Hall,Harper Hall Pern Dragons Fantasy Fiction in English Harpists Juvenile fiction Science fiction Fiction Fairy tales,0,1976,8769648
315,Endymion,Dan Simmons,Science fiction,"Science fiction Fiction, science fiction, general Fiction, horror Epos",0,1995,975059
316,Song of Susannah,Stephen King,horror fiction,horror fiction good and evil heroes literature supernatural dark fantasy Fantasy fiction Fiction epic fiction adventure fiction,0,1999,8393691
317,Little Fires Everywhere,Celeste Ng,Single mothers,Single mothers Motherhood Female friendship Adoption Family secrets Interracial adoption Custody of children Family life fiction Asian American,0,2014,8111914
318,Die Trying,Lee Child,Private investigators,"Private investigators Kidnapping Revenge Fiction Suspense Hostages Abduction United States. Federal Bureau of Investigation Fiction, thrillers, general Montana, fiction",0,1998,14424757
319,The Song of Achilles,Madeline Miller,Trojan War,"Trojan War Achilles (Greek mythology) Male friendship Fiction Gay love Thetis Greeks History Trojan War. fast (OCoLC)fst01157294 Friendship, fiction",0,2011,7098465
320,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Classic Literature,Classic Literature Murder Mystery Conclusions amorality Anglo-Saxons Apaces aristocracy banks barques,0,1892,6717853
321,The Witching Hour,Anne Rice,spirits,spirits psychics neurosurgeons Fiction Witchcraft Ficción Witches Brujería Sorcellerie Fantasy fiction,0,1990,10701482
322,Wizard's First Rule,Terry Goodkind,Fiction,"Fiction Wizards Wizards in fiction Fiction, fantasy, general Fiction, fantasy, epic Amnell, kahlan (fictitious character), fiction D'haran empire (imaginary place), fiction Richard Rahl (Fictitious character) Fantasy Fantasy fiction",0,1994,1005963
323,The Color Purple,Alice Walker,Fiction & Literature,Fiction & Literature Blacks social life and customs songs and music Lesbian fiction Epistolary fiction Fiction African American women Sisters Adult child sexual abuse victims,0,1976,8564628
324,The Perks of Being a Wallflower,Stephen Chbosky,Young adult fiction,Young adult fiction Bildungsroman Epistolary fiction Bildungsromans Diary novels Fiction Juvenile works Young adult works Juvenile fiction high school students,0,1999,14315052
325,And Then There Were None,Agatha Christie,Roman policier,Roman policier French language materials Français (langue) Lectures et morceaux choisis cyanide poisoning chloral hydrate potassium cyanide Scotland Yard coroners message in a bottle,0,1939,11172296
326,We Were Liars,E. Lockhart,Love,Love Wealth Juvenile fiction Fiction Amnesia Islands Families Friendship Massachusetts YOUNG ADULT FICTION,0,2014,14425312
327,Casino Royale,Ian Fleming,British,"British Fiction Fiction in English Intelligence officers Secret service Bond, James (Fictitious character) -- Fiction Intelligence service Fiction, thrillers, espionage Bond, james (fictitious character), fiction Spy stories",0,1953,5540820
328,The Da Vinci Code,Dan Brown,Suspense & Thriller,Suspense & Thriller Spiritual Fiction hieros gamos Priory of Sion Holy Grail Vitruvian Man Fibonacci sequence safe deposit boxes mystery & suspense Templars,0,2003,9255229
329,Anathem,Neal Stephenson,Monasteries,"Monasteries Philosophy Science Fiction & Fantasy Fiction Science fiction Life on other planets Mathematics Disasters Long Now Manual for Civilization Fiction, historical",0,2008,6304233
330,Мы,Евгений Иванович Замятин,Literature: Texts,"Literature: Texts Untranslated Fiction - General Literature - Classics / Criticism Literary Criticism Russian & Former Soviet Union Fiction, science fiction, general Fiction, dystopian Classic Literature Fiction Science Fiction",0,1924,5484189
331,Анна Каренина,Лев Толстой,Fiction,Fiction Adultery Married women Social life and customs Social conditions Upper class women Russian literature Upper class Classic Literature Literature,0,1876,2560652
332,Looking for Alaska,John Green,Fiction,"Fiction Boarding schools Death Grief Interpersonal relations Traffic accidents Young adult fiction Schools Juvenile Fiction Death, Grief, Bereavement",0,2005,12614602
333,The Notebook,Nicholas Sparks,"Man-woman relationships, fiction","Man-woman relationships, fiction Oral reading Older people Ancianos Novela Relaciones hombre-mujer Open Library Staff Picks American fiction Aged Love stories",0,1996,7382153
334,Purple Hibiscus,Chimamanda Ngozi Adichie,"Fiction, general","Fiction, general Nigeria, fiction Teenage girls Fiction Children of the rich Brothers and sisters Fathers and daughters Religious fanaticism Coups d'état Aunts",0,2003,12063933
335,Altered Carbon,Richard K. Morgan,Science Fiction,"Science Fiction Cyberpunk Thriller Life on other planets Fiction Fiction, science fiction, hard science fiction Fiction, science fiction, general Long Now Manual for Civilization Science Fiction And Fantasy Fiction - Science Fiction",0,2002,13223488
336,Slave to Love,Michelle Reid,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Affairs, fiction ""Mistresses fiction""",0,1995,1154918
337,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,Humorous stories,Humorous stories Male friendship Description and travel Humor (Fiction) Boats and boating Fiction Classic Literature English Humorous stories History General,0,1889,8243006
338,From a Buick 8,Stephen King,Pennsylvania State Police,Pennsylvania State Police ghost story drunk driving angel dust horror fiction Teenage boys Police Open Library Staff Picks Fiction Abandonment of automobiles,0,2002,6502777
339,Cadáver exquisito,Agustina Bazterrica,Romance literature,"Romance literature New York Times reviewed Fiction, dystopian Dystopias Dystopies Horror Fiction Science Fiction Thriller Cannibalism",0,2015,8169547
340,American Psycho,Bret Easton Ellis,Gothic & Horror,Gothic & Horror Literary Fiction capitalism postmodernism id schizophrenia consumerism stream of consciousness cocaine pop music,0,1991,8401686
341,Siddhartha,Hermann Hesse,Alegorías,Alegorías Buddha (The concept) Buddha and Buddhism Buddhism Buddhist Philosophy Budismo Chrestomathies and readers Classic Literature Enlightenment (Buddhism) Ficción,0,1922,6562535
342,The Tell-Tale Heart,Edgar Allan Poe,Asesinato,Asesinato Cuentos de terror estadounidenses Ficción American Horror tales American literature Children's fiction Classic Literature Crime Crime fiction Crime in fiction,0,1958,11851436
343,Norwegian Wood,村上春樹,Student,"Student Theaterwissenschaft Liebesbeziehung Belletristische Darstellung Fiction, romance, general College students Fiction Man-woman relationships Young men Fiction, romance, contemporary",0,1987,2237620
344,Alice in Wonderland in Five Acts,Lewis Carroll,Children's fiction,Children's fiction,0,1897,13805873
345,Pandora's Star,Peter F. Hamilton,Fiction,"Fiction Interplanetary voyages Science Fiction Fiction, science fiction, action & adventure Space colonies Fiction, science fiction, general",0,2004,7912438
346,The Cozakis Bride,Lynne Graham,"Fiction, Romance, Contemporary, Modern","Fiction, Romance, Contemporary, Modern Passion, fiction Vengeance, fiction Marriage, fiction Greeks, fiction",0,2000,1154966
347,Tales From A Not-So-Perfect Pet Sitter,Rachel Renée Russell,Schools,"Schools Fiction Middle schools Pets Diaries Children's fiction Pets, fiction Diaries, fiction Schools, fiction Humorous stories",0,2015,7389911
348,Punk 57,Penelope Douglas,Romance,"Romance New Adult Contemporary Young Adult Contemporary Romance High School Fiction Adult Dark Fiction, romance, general",0,2016,10107803
349,Игрокъ,Фёдор Достоевский,Translations into English,"Translations into English Continental european fiction (fictional works by one author) Gamblers Fiction Compulsive gamblers Fiction, action & adventure Fiction, general Germany, fiction Psychological fiction Gamblers -- Fiction",0,1866,3293339
350,The Farthest Shore,Ursula K. Le Guin,Magic,Magic Magia Fantasy fiction Fiction in English Fiction Fantasy Wizards Children's stories Ficción Large type books,0,1972,6498990
351,Desire,Charlotte Lamb,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Forbidden love, fiction Arranged marriage, fiction Love triangle, fiction Seduction, fiction Betrayal, fiction Revenge, fiction Passion, fiction Desire, fiction",0,1981,8261623
352,The Grapes of Wrath,John Steinbeck,Labor camps,Labor camps Depressions Labor camps in literature Classic Literature Open Library Staff Picks Pulitzer Prize Winner Fiction Migrant agricultural laborers in literature award:pulitzer_prize=1940 open_syllabus_project,0,1939,12715902
353,The Winter Bride,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Premarital sex, fiction Unmarried mothers, fiction Passion, fiction Single mothers, fiction Brides, fiction Greeks, fictIon",0,1997,5007850
354,To the Lighthouse,Virginia Woolf,Fiction,Fiction Married people Death Mothers Summer resorts Loss (Psychology) English Lighthouses Widowers Marriage,0,1927,8231846
355,The Chronicles of Narnia,C. S. Lewis,Fantasy fiction,Fantasy fiction Fiction Juvenile works Juvenile fiction Juvenile audience good and evil children fantasy Action and adventure fiction Princes,0,1970,9321656
356,Stormy Possession,Helen Bianchin,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Fiction in English Bankruptcy, fiction Business consultant, fiction Capitalists and financiers, fiction",0,1979,13052316
357,A First Time for Everything,Jessica Steele,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Secretaries, fiction Secretaries Fiction",0,1990,6781056
358,"After We Collided (After Series, Book 2)",Anna Todd,College students,"College students Man-woman relationships Fiction Fiction, romance, contemporary Fiction, women FICTION / Romance / Contemporary FICTION / Contemporary Women",0,2014,14426388
359,The Elite (The Selection #2),Kiera Cass,Contests,"Contests Love Princes Revolutionaries FictioPOP/ROCK n. Social classes Marriage Fiction Children's fiction Marriage, fiction",0,2012,7284838
360,Desire Never Changes,Penny Jordan,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Photography,  fiction Computer programming, fiction Photographers, fiction Marriage proposals, fiction Man-woman relationships, fiction",0,1986,9606214
361,"I, Robot",Isaac Asimov,smear campaigns,smear campaigns supercomputers computers Frankenstein complex hyperspace heisenbugs asteroids Shahada space stations space-based solar power,0,1950,12385229
362,The Spanish Billionaire's Pregnant Wife,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Spaniards, fiction Waitresses, fiction Investment Bankers, fiction Money Markets, fiction Marriage, fiction Married people, fiction Pregnancy, fiction Pottery, fiction Fiction, romance, general",0,2009,6953799
363,Wyrd Sisters,Terry Pratchett,"Fiction, fantasy, general","Fiction, fantasy, general Discworld (imaginary place), fiction Granny weatherwax (fictitious character), fiction Fiction Discworld (Imaginary place) Occult fiction Witches Fantasy MacBeth satire",0,1988,14648051
364,Keeper of the Lost Cities,Shannon Messenger,Ability,"Ability Fiction Fantasy Psychic ability Identity Memory Foster parents Elves Children's fiction Fairies, fiction",0,2012,9320507
365,The Return of the King,J.R.R. Tolkien,Elves,Elves Hobbits The Lord of the Rings hope fear magic Fiction Fantasy English Fantasy fiction Juvenile fiction,0,1950,14627062
366,Room on the Broom,Julia Donaldson,Children's fiction,"Children's fiction Witches, fiction Animals, fiction Dragons, fiction Stories in rhyme Animals Juvenile fiction Dragons Animals in fiction Dragons in fiction",0,2001,10839950
367,Siege and Storm,Leigh Bardugo,Monsters -- Fiction,Monsters -- Fiction Magic -- Fiction Orphans -- Fiction Fantasy First Person (Point of View) Magic Monsters Fantasy fiction Juvenile fiction Orphans,0,2013,10297781
368,Wild Magic,Tamora Pierce,The Immortals,"The Immortals Tortal Daine Paranormal fiction Juvenile fiction Human-animal communication Alanna (Fictitious character : Pierce) Children's fiction Magic, fiction Numair",0,1992,1316474
369,Congo,Michael Crichton,kakundakari,kakundakari type IIb diamonds thrillers science fiction adventure fiction adventure stories Fiction Archaeology Gorilla,0,1980,10653144
370,Tower of Dawn,Sarah J. Maas,Fantasy,"Fantasy Kings, queens, rulers Fiction Children's fiction Fantasy fiction Young adult fiction Magic YOUNG ADULT FICTION / Romance / General Healers YOUNG ADULT FICTION / Action & Adventure / General",0,2017,8506737
371,Dragonsinger,Anne McCaffrey,Pern,"Pern Harper Hall Dragons Fiction in English Juvenile fiction Science fiction Fantasy Pern (imaginary place), fiction Fiction, fantasy, general Harper's hall (imaginary place), fiction",0,1977,437864
372,Jaws,Peter Benchley,blue sharks,blue sharks dolphins shark cage diving bang sticks harpoons Mafia selectmen connivance great white sharks thrillers,0,1973,8440296
373,One Flew Over the Cuckoo's Nest,Ken Kesey,Allegories,Allegories psychiatric nursing medical novels Belletristische Darstellung Psychiatrische Klinik Fiction Psychiatric nurses in fiction Psychiatric hospital patients in fiction Psychiatric hospital patients Psychiatric nurses,0,1962,9272688
374,Great Expectations,Charles Dickens,Authors,Authors Benefactors Bildungsromans Boys British and irish fiction (fictional works by one author) Child and youth fiction Classic Literature Coming of age Conduct of life Criticism and interpretation,0,1861,13322313
375,Forbidden Surrender,Carole Mortimer,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Identical twins, fiction Divorce, fiction Broken families, fiction Jealousy, fiction Brain injury, fiction Death, fiction Fiction, romance, erotica",0,1982,9285551
376,Vingt mille lieues sous les mers,Jules Verne,Toy and movable books,"Toy and movable books Fiction Specimens Underwater exploration French language Submarine boats Translations from French Submarines Children's stories, French Underwater exploration in fiction",0,1870,6573517
377,Leopard in the Snow,Anne Mather,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Prisoner, fiction Car racing, fiction Death, fiction Grief, fiction Loss, fiction Robbing the cradle, fiction",0,1974,6968334
378,The Day of the Triffids,John Wyndham,Blind,"Blind English Fantasy fiction Translations into Russian Science Fiction & Fantasy Horror Fiction in English Fiction Meteorites Science fiction Fantasy fiction, English",0,1951,535027
379,Whose Body?,Dorothy L. Sayers,Mystery,"Mystery Detectives Lord Wimsey, Peter (Fictitious character) Translations into Russian English Detective and mystery stories Private investigators Fiction Police Classic Literature Private investigators, fiction",0,1923,8311819
380,The Horse and His Boy,C. S. Lewis,Fantasy,"Fantasy Children's fiction Allegory Aventures Magie Frères et soeurs Roman pour la jeunesse Chevaux Narnia (Lieu imaginaire) Romans, nouvelles, etc. pour la jeunesse",0,1954,9184792
381,P.S. I Still Love You,Jenny Han,Social Issues,Social Issues Young adult fiction Girls & Women Fiction Triangles (Interpersonal relations) Love & Romance Dating Friendship Love juvenile fiction,0,2000,7434792
382,The Lies of Locke Lamora,Scott Lynch,"Fiction, fantasy, general","Fiction, fantasy, general Fantasy Fiction American Science Fiction And Fantasy Fiction - Fantasy Fantasy - Epic Fiction / Fantasy / Epic Juvenile fiction Gangsters Swindlers and swindling",0,2001,6307636
383,The Immortals of Meluha,Amish Tripathi,Indic Mythology,"Indic Mythology Siva (Hindu deity) Fiction Fiction, fantasy, general India, fiction India Mythology Indus civilization Indic fiction (English) Translations into Gujarati",0,2010,11152324
384,Tales of a Fourth Grade Nothing,Judy Blume,turtles,turtles Humorous stories Brothers Juvenile fiction Family life Fiction Family Brothers and sisters Families Humorous fiction,0,1972,9268263
385,The Murder of Roger Ackroyd,Agatha Christie,detective fiction,detective fiction mystery murder investigation victim Private investigators Detective and mystery stories Fiction Mystery & Detective fiction historical fiction,0,1926,13151356
386,Sourcery,Terry Pratchett,Discworld (Imaginary place),"Discworld (Imaginary place) Fiction Fantasy English Fantasy fiction Wizards Discworld (imaginary place), fiction Fiction, fantasy, general Fiction, humorous Rincewind the wizard (fictitious character), fiction Fiction, humorous, general",0,1988,6927508
387,The Woman in White,Wilkie Collins,Fiction,Fiction mystery & detective general Apparitions Social life and customs Manners and customs Psychiatric hospital patients Inheritance and succession Country homes Art teachers,0,1859,4684227
388,Artemis Fowl and the Eternity Code,Eoin Colfer,New York Times bestseller,New York Times bestseller nyt:series_books=2008-06-22 Reading Level-Grade 5 Reading Level-Grade 4 Reading Level-Grade 7 Reading Level-Grade 6 Reading Level-Grade 8 Adventure and adventurers Fiction Fairies,0,2003,12636263
389,A Darker Shade of Magic,V. E. Schwab,Quantum theory,"Quantum theory Magic FICTION / Fantasy / Historical Fiction Fiction, fantasy, general London (England) - Fiction Magic - Fiction Witches and warlocks - Fiction Fantasy Quantum theory - Fiction",0,2015,7410930
390,The coldest winter ever,Sister Souljah,Inner cities,"Inner cities African American women Fiction Fiction, urban African americans, fiction New york (n.y.), fiction Urban fiction nyt:trade-fiction-paperback=2021-03-21 New York Times bestseller Fiction, urban & street lit",0,1999,404285
391,Married By Arrangement,Lynne Graham,"Fiction, Romance, Contemporary, Modern","Fiction, Romance, Contemporary, Modern Spaniards, fiction Marriage, fiction Passion, fiction",0,2005,9321685
392,Blindsight,Peter Watts,Vampires,"Vampires Artifical Hibernation Fiction Science Fiction Human-alien encounters Life on other planets Neurology Linguists Fiction, science fiction, general Fiction, science fiction, space opera",0,2006,524560
393,The God of Small Things,Arundhati Roy,Literary Fiction,Literary Fiction Women's Fiction dalit Catholicism fraternal twins Psychological fiction Domestic fiction award:man_booker_prize=1997 Fiction Romance,0,1997,10513792
394,Girl in Pieces,Kathleen Glasgow,Children's fiction,"Children's fiction Emotions, fiction Survival, fiction Homeless persons, fiction Child sexual abuse, fiction Self-mutilation, fiction Emotional problems Survival Abandoned children Fiction",0,2000,8888850
395,Scythe,Neal Shusterman,Science fiction,Science fiction JUVENILE FICTION / Action & Adventure / General JUVENILE FICTION / Social Issues / Death & Dying Death JUVENILE FICTION / Science Fiction Murder Fiction JUVENILE FICTION / General Juvenile fiction Competition,0,2016,8184999
396,"The Long Way to a Small, Angry Planet",Becky Chambers,Fiction,"Fiction Science fiction Extraterrestrial beings Interplanetary voyages Fiction, science fiction, general LGBTQ science fiction & fantasy Space warfare Action & Adventure Romance LGBT",0,2014,8902659
397,The Silence of the Lambs,Thomas Harris,lambs,lambs black witch moth autopsy pupa offender profiling forensic psychiatry Federal Bureau of Investigation Fiction Government investigators Psychology,0,1988,8580475
398,War and Peace,Лев Толстой,Classic,"Classic History Russian Empire Fiction Russia Russia (federation), fiction Fiction, historical Classic Literature Historical Fiction Napoleon I, Emperor of the French, 1769-1821 in fiction",0,1864,12621906
399,The White Dragon,Anne McCaffrey,Pern (Imaginary place),Pern (Imaginary place) Fiction in English Fiction Science fiction Life on other planets Space colonies Dragons Fantasy fiction Science Fiction - General Non-Classifiable,0,1978,207388
400,A Closed and Common Orbit,Becky Chambers,Fiction in English,"Fiction in English Science Fiction Fiction, science fiction, general",0,2016,8211950
401,Neuromancer,William Gibson,Information superhighway,Information superhighway Computer hackers Conspiracies Open Library Staff Picks Ciencia-ficción Fiction Science fiction Business intelligence Nervous system Wounds and injuries,0,1984,283860
402,The Man Who Was Thursday,Gilbert Keith Chesterton,Anarchists,Anarchists Novela de misterio Police Libros en letra grande Fiction Novela fantástica Ficción Classic Literature Alegorías Anarquistas,0,1908,8242857
403,Uncle Tom's Cabin,Harriet Beecher Stowe,Master and servant,"Master and servant Slavery Plantation life Uncle Tom (Fictitious character) Fugitive slaves Slaves Fiction African Americans Stowe, beecher (fictitious character), fiction African americans, fiction",0,1850,12728198
404,Lucifer's Hammer,Larry Niven,American Science fiction,"American Science fiction Science fiction Fiction, science fiction, general End of the world Fiction",0,1977,4414184
405,My Year of Rest and Relaxation,Ottessa Moshfegh,Fiction,"Fiction Solitude American Psychological fiction Medication abuse Quacks and quackery Young women New york (n.y.), fiction Fiction, women nyt:hardcover-fiction=2018-07-29 New York Times bestseller",0,2018,8202400
406,The Visitor,Lee Child,Thriller,"Thriller Fiction Fiction, thrillers, suspense Literature and fiction, mystery and suspense Retired military personnel Fiction, suspense Fiction, thrillers Fiction, thrillers, general Private investigators Detective and mystery stories",0,2000,14425212
407,A Savage Adoration,Penny Jordan,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Fiction, suspense Fiction, thrillers, suspense",0,1987,2343331
